symbol,rows,start,end,missing_price_ratio
USD_KRW,3250,2014-01-01,2026-06-26,0.0
USD_JPY,3250,2014-01-01,2026-06-26,0.0
DOLLAR_INDEX,3140,2014-01-02,2026-06-26,0.0
VIX,3139,2014-01-02,2026-06-25,0.0
AMD,3138,2014-01-02,2026-06-25,0.0
AMAT,3138,2014-01-02,2026-06-25,0.0
KLAC,3138,2014-01-02,2026-06-25,0.0
INTC,3138,2014-01-02,2026-06-25,0.0
AVGO,3138,2014-01-02,2026-06-25,0.0
MU,3138,2014-01-02,2026-06-25,0.0
QQQ,3138,2014-01-02,2026-06-25,0.0
LRCX,3138,2014-01-02,2026-06-25,0.0
QCOM,3138,2014-01-02,2026-06-25,0.0
NVDA,3138,2014-01-02,2026-06-25,0.0
SOXX,3138,2014-01-02,2026-06-25,0.0
SPY,3138,2014-01-02,2026-06-25,0.0
SMH,3138,2014-01-02,2026-06-25,0.0
US_10Y,3134,2014-01-02,2026-06-25,0.0
KOSPI,3059,2014-01-02,2026-06-26,0.0
SAMSUNG_ELECTRONICS,3059,2014-01-02,2026-06-26,0.0
SK_HYNIX,3059,2014-01-02,2026-06-26,0.0
KOSDAQ,3058,2014-01-02,2026-06-26,0.0
