feature,missing_ratio,mean,std,min,max,skewness
target_Volume,0.0,3661061.402700033,1857245.841099622,0.0,19150647.0,1.8386381340140416
SOXX_Open,0.0,117.64829876283929,95.71343104369423,23.37666702270508,653.9600219726562,1.7798435103129742
SOXX_High,0.0,118.98591597252155,97.07691387189743,23.51666641235352,655.9500122070312,1.7954250913059344
SOXX_Low,0.0,116.1650016057401,94.1315371819212,23.23666763305664,643.9299926757812,1.7532793191383895
SOXX_Close,0.0,117.66271208021097,95.76231341088138,23.476667404174805,655.010009765625,1.7807841770209158
SOXX_Adj_Close,0.0,114.15051791367266,96.44828965667324,20.553417205810547,655.010009765625,1.799486430676688
SOXX_Volume,0.0,2809599.637800461,2437751.598374752,85500.0,26691200.0,2.7142883036382957
SMH_Open,0.0,115.26095339134801,108.2835342074957,20.049999237060547,670.3499755859375,1.9053776314226112
SMH_High,0.0,116.51798484684176,109.6503494552921,20.190000534057617,671.8300170898438,1.9136306126159883
SMH_Low,0.0,113.84535553473408,106.68686854242452,19.950000762939453,660.02001953125,1.8936729635810712
SMH_Close,0.0,115.2665228506119,108.32259283025621,20.14999961853028,668.9099731445312,1.9076175622785823
SMH_Adj_Close,0.0,112.68073117893937,109.06481941920697,17.760459899902344,668.9099731445312,1.908536465347781
SMH_Volume,0.0,8192458.5446163975,4886417.052430831,618400.0,43080400.0,1.9087028293148645
NVDA_Open,0.0,36.51863058168008,57.21588014910286,0.3865000009536743,229.8699951171875,1.7556628033316362
NVDA_High,0.0,37.111401722360135,58.05957142751061,0.3880000114440918,236.5399932861328,1.750194918981604
NVDA_Low,0.0,35.85907205317144,56.2496687944737,0.382999986410141,229.3000030517578,1.7616306242665734
NVDA_Close,0.0,36.50741686798806,57.18070886038868,0.3860000073909759,235.7400054931641,1.7550598056635172
NVDA_Adj_Close,0.0,36.43271287435719,57.119827859161376,0.3635199964046478,235.465576171875,1.7555412070938996
NVDA_Volume,0.0,424560711.59038526,252080866.03694218,45644000.0,3692928000.0,2.6824334407055006
AMD_Open,0.0,71.44727360672334,78.19996518984169,1.6200000047683716,546.8900146484375,2.148647646762057
AMD_High,0.0,72.90524861507994,79.9607867313391,1.690000057220459,562.989990234375,2.1693714180014525
AMD_Low,0.0,69.91086927483181,76.2823406137376,1.6100000143051147,535.7100219726562,2.1130316171773833
AMD_Close,0.0,71.44486004948263,78.27705106747536,1.6200000047683716,551.6300048828125,2.1573118911810685
AMD_Adj_Close,0.0,71.44486004948263,78.27705106747536,1.6200000047683716,551.6300048828125,2.1573118911810685
AMD_Volume,0.0,53268717.64899572,34539352.15370472,0.0,325058400.0,1.5337635381939028
MU_Open,0.0,77.36269012673498,114.82140360588365,9.609999656677246,1233.0,5.655380990827618
MU_High,0.0,79.00292070782574,118.34762070845485,9.6899995803833,1255.0,5.652929571956738
MU_Low,0.0,75.65751728306564,110.82240786571943,9.3100004196167,1168.5699462890625,5.590170404848451
MU_Close,0.0,77.41085287847133,114.97028198658502,9.5600004196167,1213.56005859375,5.627096496922793
MU_Adj_Close,0.0,76.52774386457757,115.09996039606789,9.32374382019043,1213.56005859375,5.628560744132091
MU_Volume,0.0,26080433.058939744,14417055.293795655,4349600.0,149010300.0,2.2042684402397335
INTC_Open,0.0,40.92321036322791,14.42455673357297,18.06999969482422,139.72999572753906,2.017876306392323
INTC_High,0.0,41.484326686362984,14.773481850605895,18.989999771118164,141.4499969482422,2.1274089118620316
INTC_Low,0.0,40.373829428679386,14.034197373986611,17.670000076293945,136.2100067138672,1.855185778900921
INTC_Close,0.0,40.939028602075055,14.432219013925655,18.1299991607666,140.94000244140625,2.009624417281501
INTC_Adj_Close,0.0,36.538868338566374,14.184614396730552,17.65749168395996,140.94000244140625,2.5141599353046016
INTC_Volume,0.0,41560465.62397102,35452145.58182841,5893800.0,310161100.0,3.106735332452407
AVGO_Open,0.0,74.40197691871887,95.79314649860108,5.35099983215332,494.7799987792969,2.0746135207326715
AVGO_High,0.0,75.51084859472456,97.36904939741211,5.415999889373779,495.0,2.074639688990107
AVGO_Low,0.0,73.1362771681747,93.85813119106551,5.309999942779541,472.6400146484375,2.071429175349709
AVGO_Close,0.0,74.35897435426006,95.67384479968959,5.3979997634887695,479.2300109863281,2.0745944362710595
AVGO_Adj_Close,0.0,70.8526263058009,96.34889505473964,3.999490737915039,478.4727478027344,2.0780106289354685
AVGO_Volume,0.0,27925934.672374055,21119914.476236183,4123000.0,560280000.0,9.633809443494153
QCOM_Open,0.0,104.66749749106721,45.20180068318558,42.5099983215332,250.19000244140625,0.49552151678599154
QCOM_High,0.0,106.06570295774117,46.07709950680295,43.290000915527344,259.9200134277344,0.5145122347249284
QCOM_Low,0.0,103.24493583299865,44.287293497259554,42.2400016784668,247.509994506836,0.47867459393167083
QCOM_Close,0.0,104.6558149549417,45.16915801377449,42.959999084472656,251.0200042724609,0.49493987621027763
QCOM_Adj_Close,0.0,93.14456515772233,47.69766835782043,32.08680725097656,250.0962829589844,0.5195343310535581
QCOM_Volume,0.0,10629388.837668752,7370119.129603623,1645300.0,156019300.0,6.1215562179265275
AMAT_Open,0.0,97.20402705406413,87.07720071724339,14.420000076293944,637.739990234375,1.9637405149160212
AMAT_High,0.0,98.7519558497389,88.87738462585742,14.729999542236328,669.219970703125,2.0035154103208557
AMAT_Low,0.0,95.66832747630552,85.4937924840732,14.25,620.6900024414062,1.9524774588554124
AMAT_Close,0.0,97.2581099751045,87.30121700127187,14.550000190734863,668.0,1.9841508472755776
AMAT_Adj_Close,0.0,94.11571176671495,87.64447913691068,12.847084045410156,668.0,2.013544493331826
AMAT_Volume,0.0,9909449.456700692,6578824.276667624,1279500.0,219415200.0,11.925264519652483
LRCX_Open,0.0,47.80131414527755,54.59422619937488,4.900000095367432,407.989990234375,2.8295966736270204
LRCX_High,0.0,48.638704659634996,55.813556680931256,4.946000099182129,409.75,2.8516101861766785
LRCX_Low,0.0,46.97409414609169,53.386294335764525,4.857999801635742,392.0799865722656,2.7996541726902224
LRCX_Close,0.0,47.83434306487936,54.67291965148522,4.946000099182129,409.5400085449219,2.8290443238056238
LRCX_Adj_Close,0.0,46.27404704531989,54.86102184434156,4.196159362792969,409.5400085449219,2.8540780858041916
LRCX_Volume,0.0,18482764.73493579,11443060.599300055,2598900.0,187054000.0,3.496892546278756
KLAC_Open,0.0,34.42647017622449,38.47804667566773,4.551000118255615,265.6099853515625,2.2657253277800558
KLAC_High,0.0,34.993944699096176,39.297165844758865,4.815999984741211,269.8999938964844,2.2974932583648973
KLAC_Low,0.0,33.88799801946746,37.75332473092594,4.494999885559082,262.3800048828125,2.243770869822302
KLAC_Close,0.0,34.47247974598608,38.606579848390616,4.631999969482422,269.1600036621094,2.2795366056207564
KLAC_Adj_Close,0.0,33.274219886543015,38.87153367258512,3.80685305595398,269.1600036621094,2.282089302840271
KLAC_Volume,0.0,13544100.82318077,8701006.308823239,2103000.0,242324000.0,9.365668582785853
QQQ_Open,0.0,272.5409713232639,160.6973014150978,84.33999633789062,747.3099975585938,0.7881848905186072
QQQ_High,0.0,274.4650739808596,161.77637856279506,84.98999786376953,748.6500244140625,0.7836508748817138
QQQ_Low,0.0,270.4012841961672,159.425224751805,83.27999877929688,741.010009765625,0.7914109866545795
QQQ_Close,0.0,272.57195588715734,160.6841054135308,84.11000061035156,744.2100219726562,0.7878469866019605
QQQ_Adj_Close,0.0,265.34805627947856,162.2996840320372,76.58851623535156,743.39306640625,0.806879776320427
QQQ_Volume,0.0,42124374.58017781,21593497.58971669,7079300.0,198685800.0,1.5219975694156758
SPY_Open,0.0,361.1407540239391,148.2287542721426,174.77999877929688,758.1500244140625,0.7658961679812729
SPY_High,0.0,363.0551960693601,148.93914256951825,175.55999755859375,760.280029296875,0.7613259667979354
SPY_Low,0.0,359.0511654177739,147.40721588135003,173.7100067138672,754.6900024414062,0.7700393247376471
SPY_Close,0.0,361.19188026224737,148.2280921502713,175.1699981689453,758.5399780273438,0.7656989326556225
SPY_Adj_Close,0.0,336.56499316655453,157.25549999968882,141.91957092285156,756.5908203125,0.7753527722325697
SPY_Volume,0.0,87114197.89265722,44476534.74500472,20270000.0,507244300.0,2.4974701436375035
VIX_Open,0.0,18.2178926577802,6.9877557906399925,0.0,82.69000244140625,2.6961217366966816
