feature_set,model_name,n_features,train_rows,test_rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,confusion_matrix
F1,logistic_regression,23,2974,63,0.7142857142857143,0.7175925925925926,0.78125,0.6944444444444444,0.7352941176470589,0.7921810699588477,"[[20, 7], [11, 25]]"
F2,logistic_regression,122,2974,63,0.6666666666666666,0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471,0.7860082304526749,"[[27, 0], [21, 15]]"
F3,logistic_regression,154,2974,63,0.6507936507936508,0.6805555555555556,0.85,0.4722222222222222,0.6071428571428571,0.7674897119341564,"[[24, 3], [19, 17]]"
F4,logistic_regression,194,2974,63,0.6190476190476191,0.6527777777777778,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.772633744855967,"[[24, 3], [21, 15]]"
F5,logistic_regression,212,2974,63,0.6507936507936508,0.6944444444444444,1.0,0.3888888888888889,0.56,0.7839506172839507,"[[27, 0], [22, 14]]"
F1,random_forest,23,2974,63,0.5555555555555556,0.5046296296296297,0.5740740740740741,0.8611111111111112,0.6888888888888889,0.6219135802469137,"[[4, 23], [5, 31]]"
F2,random_forest,122,2974,63,0.6031746031746031,0.5972222222222222,0.6571428571428571,0.6388888888888888,0.647887323943662,0.6105967078189299,"[[15, 12], [13, 23]]"
F3,random_forest,154,2974,63,0.5238095238095238,0.4861111111111111,0.5625,0.75,0.6428571428571429,0.44290123456790126,"[[6, 21], [9, 27]]"
F4,random_forest,194,2974,63,0.5873015873015873,0.5740740740740741,0.631578947368421,0.6666666666666666,0.6486486486486487,0.5421810699588478,"[[13, 14], [12, 24]]"
F5,random_forest,212,2974,63,0.5873015873015873,0.587962962962963,0.65625,0.5833333333333334,0.6176470588235294,0.5252057613168725,"[[16, 11], [15, 21]]"
