feature_set,model_name,n_features,train_rows,test_rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,confusion_matrix
F1,logistic_regression,23,2974,63,0.6031746031746031,0.5766304347826088,0.6923076923076923,0.675,0.6835443037974683,0.6554347826086956,"[[11, 12], [13, 27]]"
F2,logistic_regression,122,2974,63,0.5238095238095238,0.625,1.0,0.25,0.4,0.6532608695652173,"[[23, 0], [30, 10]]"
F3,logistic_regression,154,2974,63,0.4603174603174603,0.575,1.0,0.15,0.2608695652173913,0.6641304347826087,"[[23, 0], [34, 6]]"
F4,logistic_regression,194,2974,63,0.5396825396825397,0.6375,1.0,0.275,0.43137254901960786,0.6717391304347826,"[[23, 0], [29, 11]]"
F5,logistic_regression,212,2974,63,0.5238095238095238,0.625,1.0,0.25,0.4,0.6934782608695652,"[[23, 0], [30, 10]]"
F1,random_forest,23,2974,63,0.5714285714285714,0.4777173913043478,0.6226415094339622,0.825,0.7096774193548387,0.5353260869565217,"[[3, 20], [7, 33]]"
F2,random_forest,122,2974,63,0.5555555555555556,0.4929347826086956,0.6304347826086957,0.725,0.6744186046511628,0.5413043478260869,"[[6, 17], [11, 29]]"
F3,random_forest,154,2974,63,0.6031746031746031,0.5027173913043478,0.6363636363636364,0.875,0.7368421052631579,0.5233695652173913,"[[3, 20], [5, 35]]"
F4,random_forest,194,2974,63,0.6825396825396826,0.629891304347826,0.717391304347826,0.825,0.7674418604651163,0.6483695652173913,"[[10, 13], [7, 33]]"
F5,random_forest,212,2974,63,0.5555555555555556,0.529891304347826,0.6578947368421053,0.625,0.6410256410256411,0.5499999999999999,"[[10, 13], [15, 25]]"
